"id","predicate","arity","argument_types","kind","scope_dimension","description","example"
"F216","intermediary_liability_rules_unaffected","1","entity:Entity","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R21.","intermediary_liability_rules_unaffected('x')"
"F217","intermediary_service_provider","2","arg1:Entity, arg2:EntityOrTag","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R21.","intermediary_service_provider('x','y')"
"F218","internet_protocol_address","1","datum:Datum","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R30.","internet_protocol_address('x')"
"F219","investigation_criminal_offences","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","investigation_criminal_offences('x')"
"F220","judicial_authority_processing","1","scenario:Scenario","intensional","MATERIAL","Predicate used by improved recital-derived rules for GDPR_R20.","judicial_authority_processing('x')"
"F221","judicial_capacity","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R20.","judicial_capacity('x')"
"F222","judicial_capacity_processing","1","scenario:Scenario","intensional","MATERIAL","Predicate used by improved recital-derived rules for GDPR_R20.","judicial_capacity_processing('x')"
"F223","judicial_system_supervision_possible","1","entity:Entity","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R20.","judicial_system_supervision_possible('x')"
"F224","law_enforcement_data_protection_regime","1","datum:Datum","reference","DEFINITION","Predicate used by improved recital-derived rules for AIAct_R13.","law_enforcement_data_protection_regime('x')"
"F225","law_enforcement_judicial_cooperation_agreement","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R22.","law_enforcement_judicial_cooperation_agreement('x')"
"F226","law_enforcement_purpose","1","scenario:Scenario","intensional","MATERIAL","Predicate used by improved recital-derived rules for GDPR_R19.","law_enforcement_purpose('x')"
"F227","leads_to_filing_system_interconnection","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R31.","leads_to_filing_system_interconnection('x')"
"F228","legal_form_not_determining_for_establishment","1","entity:Entity","intensional","TERRITORIAL","Predicate used by improved recital-derived rules for GDPR_R22.","legal_form_not_determining_for_establishment('x')"
"F229","legal_obligation_disclosure","1","entity:Entity","extensional","EXCEPTION","Predicate used by improved recital-derived rules for GDPR_R31.","legal_obligation_disclosure('x')"
"F230","legal_person","1","actor:Actor","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R14.","legal_person('x')"
"F231","legal_person_contact_details","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R14.","legal_person_contact_details('x')"
"F232","legal_person_data","1","datum:Datum","intensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R14.","legal_person_data('x')"
"F233","legislative_restriction_measure","2","arg1:Entity, arg2:EntityOrTag","extensional","EXCEPTION","Predicate used by improved recital-derived rules for GDPR_R19.","legislative_restriction_measure('x','y')"
"F234","manual_processing","1","scenario:Scenario","extensional","MATERIAL","Predicate used by improved recital-derived rules for GDPR_R15.","manual_processing('x')"
"F235","may_restrict_gdpr_right_or_obligation","2","arg1:Entity, arg2:EntityOrTag","intensional","EXCEPTION","Predicate used by improved recital-derived rules for GDPR_R19.","may_restrict_gdpr_right_or_obligation('x','y')"
"F236","member_state_ai_restriction_preempted","1","entity:Entity","intensional","MATERIAL","Predicate used by improved recital-derived rules for AIAct_R1.","member_state_ai_restriction_preempted('x')"
"F237","member_state_chapter_2_title_v_teu_activity","1","scenario:Scenario","extensional","TERRITORIAL","Predicate used by improved recital-derived rules for GDPR_R16.","member_state_chapter_2_title_v_teu_activity('x')"
"F238","member_state_may_provide_deceased_person_rules","1","entity:Entity","intensional","EXCLUSION","Predicate used by improved recital-derived rules for GDPR_R27.","member_state_may_provide_deceased_person_rules('x')"
"F239","member_state_specific_gdpr_provisions_allowed","1","entity:Entity","intensional","TERRITORIAL","Predicate used by improved recital-derived rules for GDPR_R19.","member_state_specific_gdpr_provisions_allowed('x')"
"F240","mentions_eu_customers_or_users","2","arg1:Entity, arg2:EntityOrTag","extensional","TERRITORIAL","Predicate used by improved recital-derived rules for GDPR_R23.","mentions_eu_customers_or_users('x','y')"
"F241","military_or_defence_developed","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R24.","military_or_defence_developed('x')"
"F242","national_security_activity","1","scenario:Scenario","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R16.","national_security_activity('x')"
"F243","national_security_developed","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R24.","national_security_developed('x')"
"F244","necessary_and_proportionate_restriction","1","entity:Entity","extensional","EXCEPTION","Predicate used by improved recital-derived rules for GDPR_R19.","necessary_and_proportionate_restriction('x')"
"F245","necessary_for_particular_inquiry","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R31.","necessary_for_particular_inquiry('x')"
"F246","non_binding_ethical_principle","1","entity:Entity","reference","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R27.","non_binding_ethical_principle('x')"
"F247","non_led_task","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","non_led_task('x')"
"F248","non_military_civilian_use","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R24.","non_military_civilian_use('x')"
"F249","non_security_civilian_use","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R24.","non_security_civilian_use('x')"
"F250","occasional_request","1","scenario:Scenario","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R31.","occasional_request('x')"
"F251","offering_goods_or_services_to_eu_data_subjects","2","arg1:Entity, arg2:EntityOrTag","intensional","TERRITORIAL","Predicate used by improved recital-derived rules for GDPR_R23.","offering_goods_or_services_to_eu_data_subjects('x','y')"
"F252","official_mission","2","arg1:Entity, arg2:EntityOrTag","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R31.","official_mission('x','y')"
"F253","online_identifier","1","datum:Datum","intensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R30.","online_identifier('x')"
"F254","operator","2","arg1:Entity, arg2:EntityOrTag","extensional","MATERIAL","Predicate used by improved recital-derived rules for AIAct_R26.","operator('x','y')"
"F255","payment_not_required_for_offering_goods_services","1","entity:Entity","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R23.","payment_not_required_for_offering_goods_services('x')"
"F256","performs_processing","2","arg1:Entity, arg2:EntityOrTag","extensional","MATERIAL","Predicate used by improved recital-derived rules for GDPR_R17, GDPR_R18, GDPR_R19, GDPR_R20.","performs_processing('x','y')"
"F257","person_affected_by_ai_system","2","arg1:Entity, arg2:EntityOrTag","extensional","MATERIAL","Predicate used by improved recital-derived rules for AIAct_R14, AIAct_R9.","person_affected_by_ai_system('x','y')"
"F258","personal_or_household_context","1","entity:Entity","extensional","EXCLUSION","Predicate used by improved recital-derived rules for GDPR_R18.","personal_or_household_context('x')"
"F259","placing_on_market","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R1, AIAct_R25.","placing_on_market('x')"
"F260","potential_recipient","2","arg1:Entity, arg2:EntityOrTag","intensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R31.","potential_recipient('x','y')"
"F261","prevention_criminal_offences","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","prevention_criminal_offences('x')"
"F262","prevention_of_threats_to_public_security","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","prevention_of_threats_to_public_security('x')"
"F263","private_body_processing","1","scenario:Scenario","extensional","MATERIAL","Predicate used by improved recital-derived rules for GDPR_R19.","private_body_processing('x')"
"F264","processing_already_under_way_on","2","arg1:Entity, arg2:EntityOrTag","extensional","MATERIAL","Predicate used by improved recital-derived rules for GDPR_R171.","processing_already_under_way_on('x','y')"
"F265","processing_location_irrelevant_for_article_3_1","1","scenario:Scenario","intensional","MATERIAL","Predicate used by improved recital-derived rules for GDPR_R22.","processing_location_irrelevant_for_article_3_1('x')"
"F266","processing_must_conform_by","2","arg1:Entity, arg2:EntityOrTag","intensional","MATERIAL","Predicate used by improved recital-derived rules for GDPR_R171.","processing_must_conform_by('x','y')"
"F267","professional_or_commercial_activity","1","scenario:Scenario","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R18.","professional_or_commercial_activity('x')"
"F268","profile_created","2","arg1:Entity, arg2:EntityOrTag","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R30.","profile_created('x','y')"
"F269","profiling_trace","2","arg1:Entity, arg2:EntityOrTag","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R30.","profiling_trace('x','y')"
"F270","profiling_used_for_decisions","2","arg1:Entity, arg2:EntityOrTag","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R24.","profiling_used_for_decisions('x','y')"
"F271","profiling_used_to_analyse_or_predict","2","arg1:Entity, arg2:EntityOrTag","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R24.","profiling_used_to_analyse_or_predict('x','y')"
"F272","prosecution_criminal_offences","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","prosecution_criminal_offences('x')"
"F273","provider_scope_irrespective_of_establishment","2","arg1:Entity, arg2:EntityOrTag","intensional","TERRITORIAL","Predicate used by improved recital-derived rules for AIAct_R21.","provider_scope_irrespective_of_establishment('x','y')"
"F274","pseudonymisation_applied","2","arg1:Entity, arg2:EntityOrTag","extensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R29.","pseudonymisation_applied('x','y')"
"F275","pseudonymisation_measure","2","arg1:Entity, arg2:EntityOrTag","extensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R28.","pseudonymisation_measure('x','y')"
"F276","pseudonymised_data","1","datum:Datum","extensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R26.","pseudonymised_data('x')"
"F277","public_authority","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R31.","public_authority('x')"
"F278","public_authority_particular_inquiry_exception","2","arg1:Entity, arg2:EntityOrTag","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R31.","public_authority_particular_inquiry_exception('x','y')"
"F279","public_authority_processing_must_follow_applicable_data_protection_rules","1","datum:Datum","intensional","MATERIAL","Predicate used by improved recital-derived rules for GDPR_R31.","public_authority_processing_must_follow_applicable_data_protection_rules('x')"
"F280","putting_into_service","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R1, AIAct_R25.","putting_into_service('x')"
"F281","radio_frequency_identification_tag","1","datum:Datum","extensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R30.","radio_frequency_identification_tag('x')"
"F282","real_world_testing_rules_available","1","entity:Entity","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R25.","real_world_testing_rules_available('x')"
"F283","reasonably_likely_means_to_identify","2","arg1:Entity, arg2:EntityOrTag","extensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R26.","reasonably_likely_means_to_identify('x','y')"
"F284","reasoned_request","1","scenario:Scenario","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R31.","reasoned_request('x')"
"F285","recipient","2","arg1:Entity, arg2:EntityOrTag","intensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R31.","recipient('x','y')"
"F286","recital_supports_rule","2","arg1:Entity, arg2:EntityOrTag","reference","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R1, AIAct_R21, AIAct_R22, AIAct_R23, AIAct_R24, AIAct_R25, AIAct_R26, AIAct_R9, GDPR_R14, GDPR_R15, GDPR_R16, GDPR_R17, GDPR_R171, GDPR_R18, GDPR_R19, GDPR_R20, GDPR_R21, GDPR_R22, GDPR_R23, GDPR_R24, GDPR_R25, GDPR_R26, GDPR_R27, GDPR_R28, GDPR_R29, GDPR_R30, GDPR_R31.","recital_supports_rule('x','y')"
"F287","reference_instrument","2","arg1:Entity, arg2:EntityOrTag","reference","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R12, AIAct_R13, AIAct_R14.","reference_instrument('x','y')"
"F288","reidentifiable_with_additional_information","2","arg1:Entity, arg2:EntityOrTag","extensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R26.","reidentifiable_with_additional_information('x','y')"
"F289","reidentification_safeguard","2","arg1:Entity, arg2:EntityOrTag","intensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R29.","reidentification_safeguard('x','y')"
"F290","relates_to_identifiable_natural_person","1","actor:Actor","extensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R26.","relates_to_identifiable_natural_person('x')"
"F291","relevant_operator_obligation_trigger","2","arg1:Entity, arg2:EntityOrTag","intensional","EXCEPTION","Predicate used by improved recital-derived rules for AIAct_R26.","relevant_operator_obligation_trigger('x','y')"
"F292","replaced_by","2","arg1:Entity, arg2:EntityOrTag","reference","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R171.","replaced_by('x','y')"
"F293","represents_member_state","1","entity:Entity","extensional","TERRITORIAL","Predicate used by improved recital-derived rules for GDPR_R25.","represents_member_state('x')"
"F294","research_testing_development_before_market_or_service","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R25.","research_testing_development_before_market_or_service('x')"
"F295","restriction_context_example","2","arg1:Entity, arg2:EntityOrTag","reference","EXCEPTION","Predicate used by improved recital-derived rules for GDPR_R19.","restriction_context_example('x','y')"
"F296","risk_based_rule_intensity","2","arg1:Entity, arg2:EntityOrTag","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for AIAct_R26.","risk_based_rule_intensity('x','y')"
"F297","risk_reduction_measure","2","arg1:Entity, arg2:EntityOrTag","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R28.","risk_reduction_measure('x','y')"
"F298","safeguarding_against_threats_to_public_security","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","safeguarding_against_threats_to_public_security('x')"
"F299","safeguards_criminal_offence_detection","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","safeguards_criminal_offence_detection('x')"
"F300","safeguards_criminal_offence_investigation","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","safeguards_criminal_offence_investigation('x')"
"F301","safeguards_criminal_offence_prevention","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","safeguards_criminal_offence_prevention('x')"
"F302","safeguards_criminal_offence_prosecution","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","safeguards_criminal_offence_prosecution('x')"
"F303","safeguards_execution_criminal_penalties","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","safeguards_execution_criminal_penalties('x')"
"F304","safeguards_public_security","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","safeguards_public_security('x')"
"F305","safeguards_specific_important_interest","1","entity:Entity","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R19.","safeguards_specific_important_interest('x')"
"F306","same_controller_analysis","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R29.","same_controller_analysis('x')"
"F307","server_received_information","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R30.","server_received_information('x')"
"F308","sole_purpose_scientific_research_development","1","entity:Entity","extensional","MATERIAL","Predicate used by improved recital-derived rules for AIAct_R25.","sole_purpose_scientific_research_development('x')"
"F309","stable_arrangements","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R22.","stable_arrangements('x')"
"F310","structured_by_specific_criteria","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R15.","structured_by_specific_criteria('x')"
"F311","subsidiary_in_union","1","entity:Entity","extensional","TERRITORIAL","Predicate used by improved recital-derived rules for GDPR_R22.","subsidiary_in_union('x')"
"F312","supervisory_authority_competence_excluded","1","entity:Entity","intensional","EXCLUSION","Predicate used by improved recital-derived rules for GDPR_R20.","supervisory_authority_competence_excluded('x')"
"F313","supports_data_protection_obligations","2","arg1:Entity, arg2:EntityOrTag","intensional","DEFINITION","Predicate used by improved recital-derived rules for GDPR_R28.","supports_data_protection_obligations('x','y')"
"F314","targeting_factor","3","arg1:Entity, arg2:Entity, arg3:Tag","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R23.","targeting_factor('x','y','tag')"
"F315","technical_organisational_measures","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R29.","technical_organisational_measures('x')"
"F316","technological_developments_relevant","1","entity:Entity","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R26.","technological_developments_relevant('x')"
"F317","technology_neutral_scope","2","arg1:Entity, arg2:EntityOrTag","reference","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R15.","technology_neutral_scope('x','y')"
"F318","third_country_language_used","2","arg1:Entity, arg2:EntityOrTag","extensional","TERRITORIAL","Predicate used by improved recital-derived rules for GDPR_R23.","third_country_language_used('x','y')"
"F319","third_country_output_scope","1","entity:Entity","intensional","TERRITORIAL","Predicate used by improved recital-derived rules for AIAct_R22.","third_country_output_scope('x')"
"F320","third_country_public_authority_or_international_organisation","1","entity:Entity","extensional","TERRITORIAL","Predicate used by improved recital-derived rules for AIAct_R22.","third_country_public_authority_or_international_organisation('x')"
"F321","tracks_natural_persons_on_internet","2","arg1:Entity, arg2:EntityOrTag","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R24.","tracks_natural_persons_on_internet('x','y')"
"F322","transparency_obligation_trigger","1","entity:Entity","intensional","EXCEPTION","Predicate used by improved recital-derived rules for AIAct_R26.","transparency_obligation_trigger('x')"
"F323","transparency_relevant_ai_system","1","ai_system:AISystem","extensional","MATERIAL","Predicate used by improved recital-derived rules for AIAct_R26.","transparency_relevant_ai_system('x')"
"F324","trustworthy_human_centric_ai_design_support","1","entity:Entity","intensional","MATERIAL","Predicate used by improved recital-derived rules for AIAct_R27.","trustworthy_human_centric_ai_design_support('x')"
"F325","unacceptable_risk_ai","1","ai_system:AISystem","extensional","CLASSIFICATION","Predicate used by improved recital-derived rules for AIAct_R26.","unacceptable_risk_ai('x')"
"F326","unstructured_file_set","1","entity:Entity","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R15.","unstructured_file_set('x')"
"F327","use_of_ai_system","1","ai_system:AISystem","extensional","MATERIAL","Predicate used by improved recital-derived rules for AIAct_R1.","use_of_ai_system('x')"
"F328","website_accessible_in_eu","2","arg1:Entity, arg2:EntityOrTag","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R23.","website_accessible_in_eu('x','y')"
"F329","within_union_law","1","entity:Entity","extensional","TERRITORIAL","Predicate used by improved recital-derived rules for GDPR_R19.","within_union_law('x')"
"F330","written_reasoned_occasional_request","1","scenario:Scenario","intensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R31.","written_reasoned_occasional_request('x')"
"F331","written_request","1","scenario:Scenario","extensional","INTERPRETIVE","Predicate used by improved recital-derived rules for GDPR_R31.","written_request('x')"
